,name,artist,genre
0,The Swan,Camille Saint-Saëns,['classical' 'french romanticism' 'late romantic era']
1,Trapped Under Ice (Remastered),Metallica,['hard rock' 'metal' 'old school thrash' 'rock' 'thrash metal']
2,Free Fallin',Tom Petty,"['album rock' 'classic rock' 'folk rock' 'heartland rock' 'mellow gold'
 'pop rock' 'rock' 'roots rock' 'singer-songwriter' 'soft rock']"
3,Get Ur Freak On,Missy Elliott,"['dance pop' 'hip hop' 'hip pop' 'pop' 'pop rap' 'r&b' 'rap'
 'urban contemporary' 'virginia hip hop']"
